タイトル,プラットフォーム,配信開始日時,制作会社,URL
私を喰べたい、ひとでなし,U-NEXT,2025-10-07 23:30,スタジオリングス,https://wata-tabe.com/
私を喰べたい、ひとでなし,アニメ放題,2025-10-07 23:30,スタジオリングス,https://wata-tabe.com/
素材採取家の異世界旅行記,U-NEXT,2025-09-29 00:30,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,dアニメストア,2025-09-29 00:30,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,アニメ放題,2025-09-29 12:00,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,ABEMA,2025-10-06 12:00,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,AnimeFesta,2025-10-06 12:00,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,バンダイチャンネル,2025-10-09 00:00,タツノコプロ,https://www.sozaisaishu-pr.com/
素材採取家の異世界旅行記,DMM TV,2025-10-09 12:00,タツノコプロ,https://www.sozaisaishu-pr.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,バンダイチャンネル,2025-09-28 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,dアニメストア,2025-10-03 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,U-NEXT,2025-10-03 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,アニメ放題,2025-10-03 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,ABEMA,2025-10-06 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,DMM TV,2025-10-06 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,Lemino,2025-10-06 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,FOD,2025-10-06 00:00,J.C.STAFF,https://mugengacha.com/
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,Prime Video,2025-10-07 12:00,J.C.STAFF,https://mugengacha.com/
さわらないで小手指くん,AnimeFesta,2025-10-05 00:00,Quad,https://kotesashikun.deregula.com/
さわらないで小手指くん,DMM TV,2025-10-05 01:05,Quad,https://kotesashikun.deregula.com/
