タイトル,プラットフォーム,配信開始日時,制作会社,URL
灰原くんの強くて青春ニューゲーム,バンダイチャンネル,2026-04-05 02:00,スタジオコメット,https://haibarakun-anime.com/
灰原くんの強くて青春ニューゲーム,Prime Video,2026-04-05 02:00,スタジオコメット,https://haibarakun-anime.com/
また殺されてしまったのですね、探偵様,dアニメストア,2026-04-02 11:30,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,U-NEXT,2026-04-02 11:30,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,アニメ放題,2026-04-03 02:30,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,ABEMA,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,Prime Video,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,DMM TV,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,Hulu,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,Lemino,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
また殺されてしまったのですね、探偵様,FOD,2026-04-07 00:00,ライデンフィルム,https://www.tbs.co.jp/anime/matakoro/
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,ABEMA,2026-04-01 00:00,スタジオフラッド,https://kanteishikari-anime.com/
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,dアニメストア,2026-04-01 00:00,スタジオフラッド,https://kanteishikari-anime.com/
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,DMM TV,2026-04-04 22:00,スタジオフラッド,https://kanteishikari-anime.com/
